Name,Neighborhood,Borough,Type,Focus,Summary
9/11 Tribute Museum,Lower Manhattan,Manhattan,History,American and NY history,History of the September 11 attacks and tours of the World Trade Center site
African Burial Ground National Monument,Lower Manhattan,Manhattan,History,African and African-American,Visitor center and memorial to an 18th-century African-American slave burial ground
AIGA National Design Center,Lower Manhattan,Manhattan,Art,"Design, decorative arts, architecture","website, public gallery of the AIGA dedicated to presenting examples of outstanding contemporary design"
A.I.R. Gallery,Dumbo,Brooklyn,Art,Contemporary art,Contemporary art by female artists
Alice Austen House,Rosebank,Staten Island,Historic house,"Photography, film, new media","Home of photographer Alice Austen, also features photography exhibitions"
American Academy of Arts and Letters,Washington Heights,Manhattan,Art,Contemporary art,"Exhibitions of its members in American literature, music, and art, also recreated studio of composer Charles Ives"
American Folk Art Museum,Upper West Side,Manhattan,Art,Folk art,American folk art
American Museum of Natural History,Upper West Side,Manhattan,Natural history,Nature,The world's largest natural history museum. Includes Rose Center for Earth and Space
American Numismatic Society Museum,Lower Manhattan,Manhattan,Numismatic,Financial,Exhibits of coins and medals from all periods and cultures
Americas Society,Upper East Side,Manhattan,Art,"Hispanic, Latino, and Caribbean","Exhibits of historic and contemporary art from Latin America, the Caribbean, and Canada"
Anne Frank Center USA,Lower Manhattan,Manhattan,History,European Jewish and Jewish-American,Uses the diary and spirit of Anne Frank to promote tolerance and human rights
Aperture Foundation,Lower Manhattan,Manhattan,Media,"Photography, film, new media",Exhibitions dedicated to contemporary and classic photography
Art in General,Lower Manhattan,Manhattan,Art,Contemporary art,Contemporary art space
Artists Space,Lower Manhattan,Manhattan,Art,Contemporary art,Non-profit contemporary art gallery
Asia Society,Upper East Side,Manhattan,Art,Asian and Asian-American,Features historic and contemporary Asian art and decorative items
Asian American Arts Centre,Lower Manhattan,Manhattan,Art,Asian and Asian-American,Cultural center with exhibition galleries
Austrian Cultural Forum New York,Midtown Manhattan,Manhattan,Culture,Contemporary art,Culture center with art exhibition gallery
Bard Graduate Center,Upper West Side,Manhattan,Art,"Design, decorative arts, architecture","Annually organizes two to three exhibitions related to decorative arts, architecture, and design"
Bartow-Pell Mansion,Pelham Bay,Bronx,Historic house,,Mid-19th-century period mansion and gardens
Bayside Historical Society,Bayside,Queens,History,Local history,Located in the Officer's Club in Fort Totten
Bernard Museum of Judaica,Upper East Side,Manhattan,Jewish,European Jewish and Jewish-American,"Located in Temple Emanu-El, Jewish art, religious ornaments, and Temple memorabilia"
Billiou-Stillwell-Perine House,Old Town,Staten Island,Historic house,,"17th-century Dutch colonial house, operated by Historic Richmond Town"
Brooklyn Navy Yard Center at BLDG 92,Brooklyn Navy Yard,Brooklyn,Multiple,American and NY history,"website, history of the former Navy yard, tours, plans for its future, exhibits of local art, photography, history"
Bowne House,Flushing,Queens,Historic house,,"Oldest house in Queens, dates back to the mid-1600s"
BRIC House,,Brooklyn,Art,Contemporary art,Contemporary art and new media
Bronx Children's Museum,"Concourse, Bronx",Bronx,Children's,,
Bronx Museum of the Arts,"Concourse, Bronx",Bronx,Art,Encyclopedic,Focuses on contemporary and 20th-century art
Bronx River Art Center,West Farms,Bronx,Art,Neighborhood art center,website
Brooklyn Botanic Garden,Park Slope,Brooklyn,Botanic garden,Nature,Includes a bonsai museum and art gallery in the conservatory
Brooklyn Children's Museum,Crown Heights,Brooklyn,Children's,,
Brooklyn Historical Society,Brooklyn Heights,Brooklyn,History,American and NY history,History and culture of Brooklyn
Brooklyn Museum,Crown Heights,Brooklyn,Art,Encyclopedic,"Collections include American art, Egyptian, Classical, and Ancient Near Eastern art, feminist, European, and art of the Pacific Islands"
Castle Clinton National Monument,Lower Manhattan,Manhattan,History,American and NY history,"Fort that contains a museum that is administered by the National Park Service, and is a departure point for visitors to the Statue of Liberty and Ellis Island"
Center for Architecture,Greenwich Village,Manhattan,Art,"Design, decorative arts, architecture","Exhibits of architecture, urban planning, urban design, and environmental planning"
Center for Art and Culture of Bedford-Stuyvesant,Bedford–Stuyvesant,Brooklyn,Art,Neighborhood art center,"website, cultural and performing arts center with the Skylight Gallery for visual art"
Center for Jewish History,Lower Manhattan,Manhattan,Ethnic - Jewish,European Jewish and Jewish-American,Jewish history and culture around the world
Chaim Gross Studio Museum,Greenwich Village,Manhattan,Art,Sculpture,"Operated by the Renee and Chaim Gross Foundation, home and studio of sculptor Chaim Gross"
Children's Cultural Center of Native America,Washington Heights,Manhattan,Children's,,"website, located in the Church of the Intercession"
Children's Museum of Manhattan,Upper West Side,Manhattan,Children's,,
Children's Museum of the Arts,SoHo,Manhattan,Children's,,"International children's art, programs in creating drawings, sculpture, sound art, textiles, and stop-motion animation"
China Institute,Upper East Side,Manhattan,Art,Asian and Asian-American,"Galleries with exhibits about traditional Chinese paintings, calligraphy, Chinese folk arts, textiles, and architecture"
Choco-Story New York,Hudson Square,Manhattan,Food,Chocolate,"History of chocolate making and consumption, demonstrations, classes. Affiliated with Jacques Torres Chocolate"
City Island Nautical Museum,City Island,Bronx,History,American and NY history,"Operated by the City Island Historical Society, local history, maritime heritage"
City Reliquary,Williamsburg,Brooklyn,History,Local history,Memorabilia and artifacts about New York City
Clemente Soto Velez Cultural and Educational Center,Lower Manhattan,Manhattan,Culture,"Hispanic, Latino and Caribbean",Cultivates Latino culture and acts as a hub for visual and performing arts on the Lower East Side
The Cloisters,Washington Heights,Manhattan,Art,European,"Art and architecture of the European Middle Ages, branch of the Metropolitan Museum of Art"
Columbia University Rare Book & Manuscript Library,Upper West Side,Manhattan,Library,"Books, drawings, illustrations, prints",Two galleries with free exhibitions from the collections
Coney Island Museum,Coney Island,Brooklyn,Amusement,Amusements,"History of Coney Island's amusement park, beach, and neighborhood"
Conference House,Tottenville,Staten Island,Historic house,,Only pre-Revolutionary manor house still surviving in New York City
"Cooper Hewitt, Smithsonian Design Museum",Museum Mile,Manhattan,Design,"Design, decorative arts, architecture","Part of the Smithsonian, decorative arts and design"
Cooper Union Galleries,East Village,Manhattan,Art,Contemporary art,"Several galleries with works by students, faculty and guest artists in art, architecture, design, photography"
Czech Centre New York,Upper East Side,Manhattan,Culture,Contemporary art,"website, exhibits of Czech artists, located in Bohemian National Hall"
Dahesh Museum of Art,Hudson Square,Manhattan,Art,European,"Currently seeking new permanent home in Manhattan, European academic art of the 19th and 20th century"
Derfner Judaica Museum,Riverdale,Bronx,Ethnic - Jewish,European Jewish and Jewish-American,Includes the Art Collection at The Hebrew Home at Riverdale
Dia:Chelsea,Lower Manhattan,Manhattan,Art,Contemporary art,
